tweet_id,Retweeter,Tweeter
7.46E+17,LouiseMensch,bhatti_saqib
7.46E+17,LouiseMensch,davidroachcouk
7.46E+17,LouiseMensch,heirraising
7.46E+17,LeaveEUOfficial,Louners_
7.46E+17,NathanGillMEP,DavidTCDavies
7.46E+17,LouiseMensch,rjocmoss
7.46E+17,TheGreenParty,CarolineLucas
7.46E+17,LouiseMensch,annietrev
7.46E+17,LouiseMensch,bobblackmanmp
7.46E+17,NathanGillMEP,WalesPolitics
7.46E+17,LouiseMensch,M0nk33y
7.46E+17,LouiseMensch,BrexitInJune
7.46E+17,Fight4UK,Nigel_Farage
7.46E+17,Fight4UK,UnaDiscamus
7.46E+17,Fight4UK,MarieBeryl
7.46E+17,Fight4UK,JorgenFaxholm
7.46E+17,Fight4UK,UnaDiscamus
7.46E+17,Fight4UK,rhia97eq
7.46E+17,Fight4UK,ajcdeane
7.46E+17,Fight4UK,roomdesign3
7.46E+17,Fight4UK,Soulofharmony
7.46E+17,Fight4UK,LouiseMensch
7.46E+17,Fight4UK,nufcno1fan
7.46E+17,Fight4UK,ajcdeane
7.46E+17,Fight4UK,MdDeactivated
7.46E+17,Fight4UK,Goldielocks1960
7.46E+17,Fight4UK,Trev_Forrester
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,Stop_The_EU
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,stardust193
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,Fight4UK,russjb2512
7.46E+17,Fight4UK,PoliticsSense
7.46E+17,Fight4UK,RT_com
7.46E+17,Fight4UK,PrisonPlanet
7.46E+17,Fight4UK,DavidJo52951945
7.46E+17,Fight4UK,pimpmytweeting
7.46E+17,Fight4UK,Stop_The_EU
7.46E+17,Fight4UK,BrexitInJune
7.46E+17,Fight4UK,MdDeactivated
7.46E+17,Fight4UK,Ironwand
7.46E+17,Fight4UK,JJfanblade
7.46E+17,Fight4UK,RogerHelmerMEP
7.46E+17,Fight4UK,JASEMARKRUTTER
7.46E+17,Fight4UK,HandofGOD7
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,RuthLeaEcon
7.46E+17,Fight4UK,Michael_Heaver
7.46E+17,Fight4UK,pimpmytweeting
7.46E+17,Fight4UK,Hansig_jw
7.46E+17,Fight4UK,Buzzer365
7.46E+17,HonourCovenant,GrayConnolly
7.46E+17,HonourCovenant,lynnesbel
7.46E+17,NathanGillMEP,WalesPolitics
7.46E+17,theordinaryman2,Fight4UK
7.46E+17,theordinaryman2,speakeezie
7.46E+17,PoliticsGhost,Tub_Guy
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,speakeezie
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,_rebeccarose17
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,theordinaryman2
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,Louners_
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,Fight4UK,LeaveEUOfficial
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,theordinaryman2,Gertusout
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,HonourCovenant,LolFishFail
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,Fight4UK,vote_leave
7.46E+17,Fight4UK,TellRanil
7.46E+17,Fight4UK,BBCNews
7.46E+17,Fight4UK,suttonnick
7.46E+17,Fight4UK,suttonnick
7.46E+17,Fight4UK,suttonnick
7.46E+17,Fight4UK,suttonnick
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,theordinaryman2,theordinaryman2
7.46E+17,theordinaryman2,theordinaryman2
